timestamp, index, name, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB], temperature.gpu, power.draw [W]
2025/03/09 23:29:34.227, 4, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 27, 14.52
2025/03/09 23:29:34.228, 5, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 26, 10.04
2025/03/09 23:29:34.229, 6, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 26, 12.36
2025/03/09 23:29:34.230, 7, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 26, 12.50
2025/03/09 23:29:35.231, 0, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 26, 6.80
2025/03/09 23:29:35.232, 1, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 26, 12.47
2025/03/09 23:29:35.233, 2, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 26, 4.76
2025/03/09 23:29:35.234, 3, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 25, 7.57
2025/03/09 23:29:35.235, 4, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 27, 14.56
2025/03/09 23:29:35.236, 5, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 26, 10.14
2025/03/09 23:29:35.237, 6, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 26, 12.55
2025/03/09 23:29:35.238, 7, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 26, 12.47
2025/03/09 23:29:36.240, 0, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 26, 6.81
2025/03/09 23:29:36.241, 1, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 26, 12.44
2025/03/09 23:29:36.242, 2, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 26, 4.83
2025/03/09 23:29:36.243, 3, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 25, 7.50
2025/03/09 23:29:36.244, 4, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 27, 14.57
2025/03/09 23:29:36.245, 5, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 26, 10.30
2025/03/09 23:29:36.246, 6, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 26, 12.48
2025/03/09 23:29:36.247, 7, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 26, 12.37
2025/03/09 23:29:37.248, 0, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 26, 6.80
2025/03/09 23:29:37.249, 1, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 26, 12.39
2025/03/09 23:29:37.250, 2, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 26, 4.89
2025/03/09 23:29:37.251, 3, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 25, 7.46
2025/03/09 23:29:37.252, 4, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 27, 14.53
2025/03/09 23:29:37.253, 5, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 26, 10.22
2025/03/09 23:29:37.254, 6, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 26, 12.24
2025/03/09 23:29:37.255, 7, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 26, 12.41
2025/03/09 23:29:38.257, 0, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 26, 6.79
2025/03/09 23:29:38.257, 1, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 26, 12.35
2025/03/09 23:29:38.258, 2, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 26, 4.96
2025/03/09 23:29:38.260, 3, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 25, 7.41
2025/03/09 23:29:38.261, 4, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 27, 14.50
2025/03/09 23:29:38.262, 5, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 26, 10.16
2025/03/09 23:29:38.263, 6, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 26, 12.12
2025/03/09 23:29:38.263, 7, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 26, 12.56
2025/03/09 23:29:39.265, 0, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 26, 6.87
2025/03/09 23:29:39.266, 1, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 26, 12.31
2025/03/09 23:29:39.267, 2, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 26, 5.06
2025/03/09 23:29:39.268, 3, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 25, 7.42
2025/03/09 23:29:39.269, 4, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 27, 14.50
2025/03/09 23:29:39.270, 5, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 26, 10.19
2025/03/09 23:29:39.271, 6, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 26, 12.25
2025/03/09 23:29:39.272, 7, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 26, 12.60
2025/03/09 23:29:40.273, 0, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 26, 6.93
2025/03/09 23:29:40.274, 1, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 26, 12.29
2025/03/09 23:29:40.275, 2, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 26, 5.05
2025/03/09 23:29:40.276, 3, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 25, 7.48
2025/03/09 23:29:40.277, 4, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 27, 14.50
2025/03/09 23:29:40.278, 5, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 26, 10.16
2025/03/09 23:29:40.279, 6, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 26, 12.43
2025/03/09 23:29:40.280, 7, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 26, 12.57
2025/03/09 23:29:41.281, 0, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 26, 6.88
2025/03/09 23:29:41.282, 1, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 26, 12.34
2025/03/09 23:29:41.283, 2, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 26, 4.95
2025/03/09 23:29:41.284, 3, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 25, 7.51
2025/03/09 23:29:41.285, 4, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 27, 14.51
2025/03/09 23:29:41.286, 5, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 26, 10.06
2025/03/09 23:29:41.287, 6, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 26, 12.39
2025/03/09 23:29:41.288, 7, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 26, 12.59
2025/03/09 23:29:42.289, 0, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 26, 6.88
2025/03/09 23:29:42.291, 1, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 26, 12.46
2025/03/09 23:29:42.292, 2, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 26, 4.83
2025/03/09 23:29:42.293, 3, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 25, 7.47
2025/03/09 23:29:42.294, 4, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 27, 14.54
2025/03/09 23:29:42.295, 5, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 26, 10.04
2025/03/09 23:29:42.296, 6, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 26, 12.23
2025/03/09 23:29:42.297, 7, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 26, 12.57
